"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Beltran, Carlos","136860","2017",".229",".369",".283",".284",".284",".139",".325",".325",".291",".293","87.3","13.4",4.6,66.4,32.5,64.9,89.1,19.8,
"Pujols, Albert","405395","2017",".262",".444",".286",".316",".305",".182",".311",".349",".284",".308","88.7","13.5",5.4,64.1,32,64,87.9,20.6,
"Mauer, Joe","408045","2017",".308",".469",".349",".368",".387",".161",".363",".389",".360",".364","90.6","6.2",4.5,53.6,19.1,75,90.9,12.8,
"Cabrera, Miguel","408234","2017",".282",".521",".313",".370",".359",".239",".354",".437",".323",".367","91.1","12.4",10.5,73,30.3,62.2,83.8,23.1,
"Phillips, Brandon","408252","2017",".272",".380",".316",".300",".308",".108",".340",".322",".326",".312","84.6","8.2",2.4,75.6,39.4,68.3,86.8,20.2,
"Reyes, Jose","408314","2017",".242",".351",".312",".293",".313",".108",".325",".300",".289",".287","84.3","15.8",2.6,62.8,29.6,71.3,87.4,17.7,
"Choo, Shin-Soo","425783","2017",".269",".476",".339",".367",".368",".207",".377",".419",".342",".358","88.7","7.9",8.6,63.6,20.5,57.3,82.2,22.9,
"Molina, Yadier","425877","2017",".272",".462",".316",".330",".316",".189",".345",".363",".314",".319","87.9","14.5",5.9,70.9,33.2,71.4,84.8,18.7,
"Cano, Robinson","429664","2017",".294",".486",".334",".355",".352",".192",".358",".384",".325",".343","90.3","7.5",6.3,74.2,30.8,67.7,88.5,17.8,
"Encarnacion, Edwin","429665","2017",".266",".530",".373",".389",".387",".264",".411",".436",".336",".350","89.2","16.8",10.3,67.8,20.9,57.4,80.5,25.4,
"Bautista, Jose","430832","2017",".210",".380",".295",".306",".316",".171",".329",".346",".281",".293","88.3","17",6.6,62.9,22.7,56.3,78.1,28.4,
"Jones, Adam","430945","2017",".263",".438",".334",".317",".302",".175",".387",".364",".349",".323","86.9","11.9",6.4,79.8,41.5,61.2,84.4,24.4,
"Granderson, Curtis","434158","2017",".225",".454",".330",".340",".337",".229",".372",".390",".289",".311","87.7","20.2",10.9,58.5,19.8,62.8,86.6,19.2,
"Ramirez, Hanley","434670","2017",".264",".482",".318",".347",".340",".218",".366",".408",".316",".344","88.5","12.6",9.5,71.4,28.1,55.1,83.2,25.6,
"Morales, Kendrys","434778","2017",".270",".512",".320",".354",".327",".241",".378",".426",".325",".352","91.1","9.5",10,71.4,32.2,58.9,77.9,29,
"Kinsler, Ian","435079","2017",".256",".428",".313",".328",".331",".172",".321",".341",".280",".304","86.3","19.5",4.9,64.1,25,70.7,89.4,15.5,
